,dinobryon,nauplius,maybe_cyano,diaphanosoma,asterionella,uroglena,cyclops,ceratium,asplanchna,rotifers,daphnia,eudiaptomus,kellicottia,paradileptus,keratella_quadrata,filament,fragilaria,trichocerca,conochilus,aphanizomenon,fish,leptodora,unknown,synchaeta,brachionus,dirt,keratella_cochlearis,bosmina,unknown_plankton,polyarthra,copepod_skins,hydra,diatom_chain,daphnia_skins,chaoborus
leptodora (26),0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown (26),1,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,10,1,0,1,0,0,0,1,0,0,0,0,0
synchaeta (23),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
brachionus (23),1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
dirt (18),1,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,1,1,1,0,0,0,0,0
keratella_cochlearis (15),0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
bosmina (15),0,0,0,0,0,0,3,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
unknown_plankton (11),0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
polyarthra (10),0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
copepod_skins (3),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hydra (2),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diatom_chain (2),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daphnia_skins (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
chaoborus (1),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
